22	-19
21.51	-1.7
21.34	4
21.2	8.6
21.02	14.6
20.81	20.8
20.72	23.5
20.59	26.8
20.45	30
20.21	36.1
19.99	40.6
19.75	45.6
19.5	50.6
19.24	55.6
19.01	59.3
18.6	65.6
18.27	70.1
17.73	76
17.16	81.5
16.5	86.5
16	89.1
15.5	91
15.03	92.7
14	95.1
12.91	96.7
11.83	97.7
10.87	98.7
9.78	99.2
8.49	99.9
7.09	100.1
5.96	100.5
4.92	101.3
3.78	101.5
2.89	101.8
1.418	102.1
0	102.4
-1.4	102.7
